Energy;Significance;Global Mode Intensity;Sigma Posterior
509.0;5.448760111655168;164.34423419602152;30.161767232967563
510.0;7.447263058567701;226.9701192757246;30.476984294868828
511.0;5.827707172473675;175.67915604003412;30.14550162537833
512.0;3.1730365574521304;90.0758391040545;28.3878983028116
581.0;3.6254446600080263;105.06479441929284;28.979836757199386
582.0;10.577492148404392;340.83826255931996;32.22297476351568
583.0;12.090819198453291;387.41507845690353;32.042086817943925
584.0;6.611608140635757;205.3289063218643;31.05581909186172
607.0;4.149205631520756;125.10440561046785;30.151411311136904
608.0;10.83511231688372;356.7930303466409;32.92933380955094
609.0;12.396779855801656;407.90687024825735;32.90426021862106
610.0;7.2213283844400395;228.7574925664589;31.67803489720366
626.0;2.035152417396068;51.83764959708708;25.47113874812983
667.0;2.298391953098478;58.94040548926465;25.644192414529943
668.0;2.574490562383497;67.7993906931276;26.335070589793904
726.0;3.5230335457990614;96.57479639383646;27.412397622212332
727.0;4.854514073924771;133.93717822194907;27.590233787017063
728.0;2.798487358404144;75.14082477267247;26.85051427765678
768.0;2.063714988302074;52.154844183151674;25.27230963518959
769.0;2.6451912512646563;67.76005246413972;25.616315051603124
820.0;2.0851541450283797;52.047333011384154;24.960904274381967
833.0;2.601412291802949;66.40878805464253;25.5279750402874
834.0;3.567064631372135;95.81888527922564;26.862110777725718
835.0;3.907681379697698;101.57050076996553;25.992523673417594
836.0;2.2910581339136997;57.69909751186724;25.184475530222695
860.0;2.5213981493014175;63.19381211601256;25.063004085063337
861.0;2.146820086345233;52.87025252791008;24.627239545684006
889.0;2.2390050365344494;53.34711007780734;23.82625729166668
909.0;7.066349042663254;208.1532195352492;29.45696827010937
910.0;12.088711093975991;378.2477736088922;31.289338513299356
911.0;12.146269796809646;385.4313375096887;31.732486101282433
912.0;7.562703714060852;222.91688463863002;29.475818842958887
934.0;2.2824924129705813;54.161613839948636;23.729153942491862
935.0;2.2272712160745436;53.0869259534408;23.834962518396797
967.0;5.00318435192817;133.10998481610793;26.605052992862205
968.0;7.779511324097106;214.4883742092972;27.570931550021342
969.0;6.779739108523737;184.47581096614385;27.20986870043629
970.0;2.8742129705355257;74.8153735328926;26.029864279317106
996.0;2.0563608734363337;46.578203985292504;22.65079276063876
1013.0;2.3825546607754062;53.968448281492634;22.651504777619042
1014.0;2.6917398836687605;60.94374655280584;22.641023719476692
1083.0;2.2979345726589475;50.984332563103216;22.1870253268826
1084.0;2.92026493230977;65.27595134269264;22.35274978666505
1085.0;2.8469354091211496;64.83454158991051;22.773450139469436
1119.0;2.5606063492271662;58.60368082675305;22.886642003539755
1120.0;3.8561227643662876;91.93707358754361;23.84184301317297
1121.0;3.1214314608455167;73.71383776855126;23.615395273995237
1154.0;2.2794209421591174;48.19752898435779;21.14463725980513
1171.0;2.3316814719551036;49.99675581463441;21.442360981113076
1172.0;3.049593356881772;68.42755643653736;22.438255999647428
1173.0;3.5351819580055706;77.07804076037043;21.803132533482163
1174.0;3.072496017252605;68.14535247925642;22.17915079355947
1186.0;2.032048914012794;42.67603667942509;21.001481010194027
1187.0;2.386363722185827;50.33595269665824;21.093160371442558
1238.0;2.4242973695198886;51.205260358929145;21.121691176470613
1273.0;2.029787613745611;40.320857557198;19.864569713672186
1333.0;2.1450201301027283;37.52949135723276;17.49610217198074
1365.0;2.1585741173840547;34.560568371766415;16.010832379316156
1376.0;2.1289483272416496;34.51008661176747;16.2099221339393
1377.0;4.1434510844330426;70.58483130732596;17.035275635933864
1378.0;4.363428756068399;75.05076667340957;17.199952346886242
1379.0;2.9353241092728792;47.60823811435428;16.219073717943708
1458.0;16.353051256477347;767.1199391941329;46.90989633450096
1459.0;42.08847011799874;2704.8670684766275;64.26622447652039
1460.0;52.21323357126379;3039.1611599244516;58.206721783978765
1461.0;51.18287126564839;2965.5503071103362;57.94028810377972
1462.0;38.78864054223824;2472.8408658037906;63.75167655362998
1463.0;10.17693492425648;419.82217782753844;41.25232016831535
1495.0;2.1223517895749318;24.024537737752713;11.319771705973583
1508.0;2.1016085704924636;23.954298986784764;11.398078273525325
1522.0;34.16079241052804;3376.066532616036;98.82869495660657
1523.0;72.49823754959459;7162.302343256143;98.79277876729839
1524.0;80.60245629588245;6948.724042173188;86.20982984271859
1525.0;79.20796837736981;7104.631516727301;89.69591901257672
1526.0;62.8590410085913;6521.266338427194;103.74428616459318
1527.0;177.41334022621297;2874.936176033211;16.204735068780565
1586.0;2.757144483549535;25.15802208053454;9.124665838384436
1587.0;4.148804669807698;40.34132725292682;9.723602450244224
1588.0;4.619546598850242;42.91728670837277;9.29036774281148
1589.0;3.4606569107410894;30.13970392631853;8.70924356377882
1621.0;2.0136493639303485;14.552486846235231;7.226921979023651
1666.0;2.6764634723232485;16.06519407579796;6.002396162669428
1728.0;3.28433417373251;21.241105476674015;6.467400804265413
1729.0;4.418462948045802;30.98484330788359;7.012584166081458
1730.0;4.178165666841469;29.50850403525514;7.062550025107651
1731.0;2.9085334011685395;18.799226713895266;6.463472864482987
1762.0;4.525688357017059;54.267043981137114;11.990892810150374
1763.0;10.723601855889697;151.61285171519694;14.138239534874842
1764.0;12.64186814443609;173.48485258342035;13.72303923765999
1765.0;12.030769000730759;164.3998503146675;13.66494945623856
1766.0;8.873417375577931;120.20333070773357;13.546452918868212
1846.0;2.5356930991227533;13.32897485466387;5.256541045631726
1847.0;2.8359076993650794;15.304617572233683;5.396726267099658
1848.0;2.528056469882694;12.635289000311614;4.99802482691295
1869.0;2.1298525430432123;9.495119730574148;4.45811131929686
1935.0;2.0630096609872055;8.579565491648909;4.158761664520444
1956.0;2.2036772433599188;8.401606698543672;3.812539573959501
2103.0;3.3322776419235414;19.05302341549134;5.717717868338568
2104.0;3.9459047797291174;23.42090920214199;5.935497815978675
2105.0;3.6144642142680152;21.737214514317433;6.013952061970976
2106.0;2.6368520731440865;15.121105062630969;5.734529144291781
2117.0;2.3784842938473583;13.012040152409858;5.470727801764042
2118.0;3.2901290215614343;18.67721542351346;5.676742553594327
2119.0;3.3576373808463438;18.35338125185458;5.4661594359627745
2120.0;2.7031226821765046;14.517913561541622;5.3707934372597785
2202.0;4.681115721244512;34.63341962296439;7.398539511806133
2203.0;5.918747268317127;45.81084393022996;7.739956084196059
2204.0;6.151141951997648;48.6723532898411;7.912734524690045
2205.0;5.140297745035783;40.77012657351277;7.9314717932217675
2206.0;2.5870253445541658;17.237592784577252;6.663093896959053
2292.0;2.0521360196339287;8.765026892162622;4.271172479944179
2293.0;2.607611558652351;11.971954579336199;4.591157198859583
2294.0;2.5022688190267663;10.8844690030758;4.34984000132696
2445.0;2.1169560441351947;10.754133948686988;5.079998698357574
2446.0;3.308207260797529;17.497942024851632;5.289252046630628
2447.0;3.828696246523144;20.060732415777665;5.239572722436496
2448.0;3.332312924612371;17.64972008799844;5.296537416290677
2449.0;2.069099433420506;10.333743680646064;4.994319515888593
2612.0;11.070653349743242;198.4479951785942;17.925590198630573
2613.0;16.271446481587578;295.03495872084363;18.132067057142024
2614.0;17.10381262417348;303.5423811193036;17.74705954684603
2615.0;16.57353091306196;286.933871747814;17.312778625927876
2616.0;12.141992731610504;214.14890993640307;17.637048108164905
2617.0;2.52039989711753;33.504695463227435;13.293404551216367
